,df,Bonny light,Bonny light
0,2000-01-01,,
1,2000-02-01,,
2,2000-03-01,,
3,2000-04-01,,
4,2000-05-01,,
5,2000-06-01,,
6,2000-07-01,,
7,2000-08-01,,
8,2000-09-01,,
9,2000-10-01,,
10,2000-11-01,,
11,2000-12-01,,
12,2001-01-01,,
13,2001-02-01,,
14,2001-03-01,,
15,2001-04-01,,
16,2001-05-01,,
17,2001-06-01,,
18,2001-07-01,,0.2
19,2001-08-01,,0.19344262295081968
20,2001-09-01,,0.19037893039505507
21,2001-10-01,,0.1841369982509549
22,2001-11-01,,0.18465709666895636
23,2001-12-01,,0.18516014267981024
24,2002-01-01,,0.18564669537883285
25,2002-02-01,,0.18283860700575635
26,2002-03-01,,0.1768438985793381
27,2002-04-01,,0.17104573797017947
28,2002-05-01,,0.1588803039383703
29,2002-06-01,,0.15367111364530897
30,2002-07-01,,0.15191140500120046
31,2002-08-01,,0.15676676877165288
32,2002-09-01,,0.15818425176274623
33,2002-10-01,,0.15955525990167257
34,2002-11-01,,0.15760262842948658
35,2002-12-01,,0.16882877175966735
36,2003-01-01,,0.17968684481672742
37,2003-02-01,,0.18035284990470357
38,2003-03-01,,0.19083308433405755
39,2003-04-01,,0.19769101599523597
40,2003-05-01,,0.20104540891342493
41,2003-06-01,,0.20756851026052575
42,2003-07-01,,0.20732036238313145
43,2003-08-01,,0.21035903902630745
44,2003-09-01,,0.21329808692708424
45,2003-10-01,,0.21941946112619623
46,2003-11-01,,0.2187827574827144
47,2003-12-01,,0.21488824084393685
48,2004-01-01,,0.21440010179987334
49,2004-02-01,,0.2139279673146316
50,2004-03-01,,0.22658606674693876
51,2004-04-01,,0.2421078350503178
52,2004-05-01,,0.2571206929175205
53,2004-06-01,,0.2519691947890772
54,2004-07-01,,0.2568226638123861
55,2004-08-01,,0.2779104453267341
56,2004-09-01,,0.28847075859471
57,2004-10-01,,0.298684832083408
58,2004-11-01,,0.26921975562165695
59,2004-12-01,,0.23416337019143868
60,2005-01-01,,0.23632194821794886
61,2005-02-01,,0.23513106466981937
62,2005-03-01,,0.24053660353310397
63,2005-04-01,,0.23265015751562515
64,2005-05-01,,0.23485834907248987
65,2005-06-01,,0.24355151795535904
66,2005-07-01,,0.2617957304814128
67,2005-08-01,,0.3122286573508747
68,2005-09-01,,0.3741227997328132
69,2005-10-01,,0.41103680629895045
70,2005-11-01,,0.43034707494488644
71,2005-12-01,,0.43590946593029994
72,2006-01-01,,0.4412894834407819
73,2006-02-01,,0.45632917250829724
74,2006-03-01,,0.4774331340654022
75,2006-04-01,,0.5175172936042415
76,2006-05-01,,0.5431724643057417
77,2006-06-01,0.42500000000000004,0.5483143507219469
78,2006-07-01,0.4466666666666667,0.5795171588949979
79,2006-08-01,0.47500000000000003,0.6162543012263094
80,2006-09-01,0.4833333333333334,0.6157213733172501
81,2006-10-01,0.5050000000000001,0.6381567381265205
82,2006-11-01,0.5300000000000001,0.6729712713027001
83,2006-12-01,0.5650000000000001,0.7263164755222836
84,2007-01-01,0.5983333333333334,0.7746339681281104
85,2007-02-01,0.635,0.8246459691730903
86,2007-03-01,0.6716666666666667,0.8697395439543004
87,2007-04-01,0.7166666666666668,0.9297480834967824
88,2007-05-01,0.7666666666666668,0.991067818464101
89,2007-06-01,0.8033333333333335,1.0307049391701961
90,2007-07-01,0.8483333333333334,1.0887146132957635
91,2007-08-01,0.8916666666666668,1.1481010194172137
92,2007-09-01,0.9366666666666668,1.2055403302559935
93,2007-10-01,0.9733333333333333,1.2447029423787477
94,2007-11-01,1.0083333333333333,1.2760241573827231
95,2007-12-01,1.0366666666666666,1.306318447304601
96,2008-01-01,1.0683333333333336,1.3421768588683844
97,2008-02-01,1.1183333333333334,1.4030890930038473
98,2008-03-01,1.166666666666667,1.4685615817578195
99,2008-04-01,1.2183333333333335,1.5351661200608417
100,2008-05-01,1.2800000000000002,1.6159803456326174
101,2008-06-01,1.35,1.7138170556118757
102,2008-07-01,1.4116666666666666,1.7854951849360763
103,2008-08-01,1.4416666666666667,1.7958068182168607
104,2008-09-01,1.49,1.841845938931062
105,2008-10-01,1.54,1.8929329573267648
106,2008-11-01,1.5716666666666665,1.8997220406931004
107,2008-12-01,1.6,1.8964524655884083
108,2009-01-01,1.6316666666666666,1.9031261552412473
109,2009-02-01,1.6799999999999997,1.9423679206431737
110,2009-03-01,1.6983333333333333,1.934421431441758
111,2009-04-01,1.6949999999999998,1.8873912205748151
112,2009-05-01,1.7033333333333331,1.8648538035067883
113,2009-06-01,1.7266666666666666,1.8528913837196805
114,2009-07-01,1.7349999999999999,1.8216490432698549
115,2009-08-01,1.7449999999999999,1.8111031729987122
116,2009-09-01,1.76,1.8009030689659675
117,2009-10-01,1.77,1.78120132899987
118,2009-11-01,1.8016666666666665,1.7654242362457757
119,2009-12-01,1.833333333333333,1.7436070481721437
120,2010-01-01,1.853333333333333,1.7356199318386307
121,2010-02-01,1.8733333333333333,1.7246159996472001
122,2010-03-01,1.89,1.7139728521177837
123,2010-04-01,1.908333333333333,1.693842594671299
124,2010-05-01,1.9216666666666664,1.6743723456656825
125,2010-06-01,1.9399999999999997,1.6719339081028732
126,2010-07-01,1.953333333333333,1.669575419312615
127,2010-08-01,1.9516666666666664,1.670572946548267
128,2010-09-01,1.938333333333333,1.6617017023991436
129,2010-10-01,1.9366666666666665,1.6531213187139258
130,2010-11-01,1.9466666666666663,1.6513796361331412
131,2010-12-01,1.9649999999999999,1.6529737464238579
132,2011-01-01,1.9833333333333334,1.6545155908034035
133,2011-02-01,2.003333333333333,1.6691216370065705
134,2011-03-01,2.0433333333333334,1.7291504357932401
135,2011-04-01,2.07,1.7806537001934617
136,2011-05-01,2.0966666666666667,1.8173535788756432
137,2011-06-01,2.123333333333333,1.8331780516993925
138,2011-07-01,2.13,1.8353689352502323
139,2011-08-01,2.1516666666666664,1.873553560323995
140,2011-09-01,2.2,1.9268796731002573
141,2011-10-01,2.225,1.9555065690641833
142,2011-11-01,2.2283333333333335,1.953686681553882
143,2011-12-01,2.225,1.958483839535722
144,2012-01-01,2.23,1.9762384677476657
145,2012-02-01,2.23,1.9868535999526602
146,2012-03-01,2.236666666666667,2.00695676060995
147,2012-04-01,2.22,1.9968926045243776
148,2012-05-01,2.1966666666666668,1.9773223551957095
149,2012-06-01,2.18,1.9518363763368336
150,2012-07-01,2.143333333333333,1.9075138721946423
151,2012-08-01,2.1083333333333334,1.8712019419587522
152,2012-09-01,2.078333333333333,1.845916632386334
153,2012-10-01,2.0616666666666665,1.8312964149310444
154,2012-11-01,2.0516666666666663,1.8237129259169118
155,2012-12-01,2.0549999999999997,1.8426075840835703
156,2013-01-01,2.0516666666666663,1.8543253682119778
157,2013-02-01,2.0349999999999997,1.865658962696831
158,2013-03-01,2.0316666666666663,1.9094078491657873
159,2013-04-01,2.0266666666666664,1.95172234591445
160,2013-05-01,2.0066666666666664,1.9795347280156155
161,2013-06-01,1.9599999999999997,1.9736483434905132
162,2013-07-01,1.9266666666666663,1.9712336437039388
163,2013-08-01,1.9266666666666663,1.9754554914513507
164,2013-09-01,1.918333333333333,1.9992110491086834
165,2013-10-01,1.8999999999999995,2.0090729819247923
166,2013-11-01,1.8916666666666662,1.9956607530092254
167,2013-12-01,1.8866666666666663,1.9794095807794148
168,2014-01-01,1.8816666666666664,1.9735272994423847
169,2014-02-01,1.863333333333333,1.9743952568377163
170,2014-03-01,1.8766666666666663,1.9916281992364797
171,2014-04-01,1.908333333333333,2.0050174386057753
172,2014-05-01,1.9316666666666662,2.0245250635695204
173,2014-06-01,1.9399999999999997,2.0237209631246182
174,2014-07-01,1.9383333333333328,1.983598964333647
175,2014-08-01,1.9233333333333327,1.9382350638636912
176,2014-09-01,1.9166666666666659,1.9107519470157013
177,2014-10-01,1.9199999999999993,1.8940059815397767
178,2014-11-01,1.9183333333333328,1.8712516870630627
179,2014-12-01,1.9099999999999995,1.8295713038806671
180,2015-01-01,1.8883333333333328,1.7761427365403173
181,2015-02-01,1.8833333333333326,1.75397412222752
182,2015-03-01,1.8866666666666658,1.7489257903512079
183,2015-04-01,1.8849999999999991,1.7243708464052665
184,2015-05-01,1.8783333333333327,1.6907849170149298
185,2015-06-01,1.856666666666666,1.6451854115390305
186,2015-07-01,1.8366666666666662,1.6043596603410295
187,2015-08-01,1.8199999999999996,1.5747085239364054
188,2015-09-01,1.8133333333333328,1.5558656215122608
189,2015-10-01,1.8033333333333326,1.5310831421184161
190,2015-11-01,1.7783333333333327,1.4841623833604352
191,2015-12-01,1.7516666666666658,1.4387800101355028
192,2016-01-01,1.726666666666666,1.398164272098273
193,2016-02-01,1.6949999999999994,1.3588801976032474
194,2016-03-01,1.641666666666666,1.3241628140752721
195,2016-04-01,1.5933333333333328,1.2938623939416567
196,2016-05-01,1.5499999999999994,1.2612767416812745
197,2016-06-01,1.5133333333333325,1.223202094413036
198,2016-07-01,1.4983333333333324,1.2158839929568708
199,2016-08-01,1.471666666666666,1.2219205833517275
200,2016-09-01,1.4333333333333327,1.2212018757008511
201,2016-10-01,1.3949999999999994,1.1975559125631183
202,2016-11-01,1.3733333333333324,1.1779639154299013
203,2016-12-01,1.3499999999999992,1.1622929673830191
204,2017-01-01,1.311666666666666,1.1307423782884938
205,2017-02-01,1.281666666666666,1.1100623003118217
206,2017-03-01,1.2433333333333327,1.083502880629467
207,2017-04-01,1.2216666666666662,1.0610929501170256
208,2017-05-01,1.2049999999999994,1.0394177714246642
209,2017-06-01,1.1883333333333328,1.0118958772795932
210,2017-07-01,1.1816666666666662,0.9852763403196065
211,2017-08-01,1.1766666666666663,0.9693656406369965
212,2017-09-01,1.1649999999999998,0.950697914714472
213,2017-10-01,1.1483333333333332,0.9326422453795712
214,2017-11-01,1.1316666666666666,0.9217359422523721
215,2017-12-01,1.1049999999999998,0.9177445998834418
216,2018-01-01,1.083333333333333,0.9171628097233289
217,2018-02-01,1.0666666666666664,0.9264361602242033
218,2018-03-01,1.0316666666666663,0.9321267779217703
219,2018-04-01,0.9899999999999997,0.9245160638915484
220,2018-05-01,0.9566666666666663,0.9204335699934648
221,2018-06-01,0.9366666666666663,0.9099275513051545
222,2018-07-01,0.9216666666666664,0.9128807463443297
223,2018-08-01,0.9066666666666664,0.9222944923658271
224,2018-09-01,0.8883333333333331,0.9445143450751442
225,2018-10-01,0.8733333333333331,0.9594483009743198
226,2018-11-01,0.8649999999999998,0.9640565534013912
227,2018-12-01,0.8616666666666664,0.9750710926341325
228,2019-01-01,0.8583333333333331,0.9955605650067839
229,2019-02-01,0.8499999999999998,1.012099562875414
230,2019-03-01,0.8299999999999997,1.0215389214696626
231,2019-04-01,0.813333333333333,1.033947481421477
232,2019-05-01,0.8016666666666663,1.0623426459650354
233,2019-06-01,0.7966666666666664,1.083249444457985
234,2019-07-01,0.8066666666666664,1.0936347085741167
235,2019-08-01,0.818333333333333,1.100400783702834
